,game_id,home_gk_overall,home_dc_overall,home_mid_overall,home_st_overall,away_gk_overall,away_dc_overall,away_mid_overall,away_st_overall,homeScore,awayScore,matchResult
780,81c83fe9,65.0,62.0,58.333333333333336,71.0,64.0,57.333333333333336,63.666666666666664,71.0,1,2,Away
781,2a8b7749,62.0,63.0,64.0,67.5,61.0,60.0,65.5,61.5,1,1,Draw
782,7f2cdeb6,empty,61.8,70.0,73.0,68.0,60.5,62.25,62.0,1,3,Away
783,6cc45497,63.0,64.25,65.66666666666667,66.0,67.0,61.75,62.0,66.0,2,0,Home
784,82c3efb7,66.0,59.4,62.333333333333336,65.0,71.0,66.0,62.5,60.5,2,0,Home
785,a8be717d,68.0,66.5,62.0,60.0,68.0,67.6,62.333333333333336,63.0,3,1,Home
786,0682fa55,68.0,70.25,75.0,71.0,68.0,64.0,67.0,60.5,0,2,Away
787,24f7d86b,71.0,59.4,63.0,72.0,64.0,61.0,70.25,71.0,3,0,Home
788,926b0a14,81.0,58.25,63.666666666666664,61.666666666666664,68.0,61.75,70.0,66.33333333333333,0,1,Away
789,d2738fb8,68.0,64.25,65.25,63.333333333333336,81.0,69.0,61.0,64.66666666666667,1,2,Away
790,952686b7,68.0,60.666666666666664,61.5,73.0,61.0,61.6,60.6,60.666666666666664,2,3,Away
791,039fae0f,68.0,65.4,69.5,62.0,61.0,60.0,68.5,59.0,2,2,Draw
792,69267ef1,65.0,62.0,60.666666666666664,59.5,empty,66.8,76.0,63.0,1,0,Home
793,21b6f226,67.0,65.2,64.33333333333333,72.0,71.0,63.75,60.0,78.0,1,1,Draw
794,9bdf343f,62.0,63.5,64.6,65.0,67.0,67.6,62.0,64.5,3,3,Draw
795,8308b478,65.0,59.8,60.666666666666664,61.0,68.0,62.5,62.0,62.0,0,0,Draw
796,8e2d796d,61.0,66.6,62.0,64.66666666666667,66.0,65.0,67.0,66.0,2,2,Draw
797,f3522f33,62.0,62.5,65.25,72.16666666666667,71.0,59.5,69.66666666666667,71.0,0,0,Draw
798,678c2976,71.0,63.0,62.333333333333336,62.25,64.0,63.25,69.5,67.0,0,2,Away
799,c0fbd8fa,68.0,59.5,61.75,61.5,63.0,60.5,63.0,68.0,1,2,Away
800,f7e99caf,63.0,65.0,67.66666666666667,63.5,61.0,68.5,61.75,67.0,0,1,Away
801,f3ce3488,64.0,63.5,70.66666666666667,59.5,71.0,69.4,63.0,58.0,2,1,Home
802,19dfaa21,67.0,60.0,62.333333333333336,66.33333333333333,empty,61.5,60.0,59.5,0,0,Draw
803,90c40e1c,65.0,66.25,67.66666666666667,63.0,76.0,63.75,63.0,62.0,4,0,Home
804,2e98ccf9,68.0,63.25,62.333333333333336,73.0,65.0,65.0,76.0,67.66666666666667,1,0,Home
805,2e802ba3,67.0,59.2,62.333333333333336,69.0,67.0,62.0,61.0,79.25,1,2,Away
806,6b4f65e7,63.0,64.25,64.5,63.0,61.0,67.6,66.75,58.0,1,1,Draw
807,25718ab1,62.0,63.5,68.0,66.0,68.0,60.5,65.0,71.0,2,3,Away
808,70c7d433,56.0,59.8,57.333333333333336,empty,68.0,67.5,67.0,69.0,1,1,Draw
809,9635699e,65.0,64.8,65.75,65.0,61.0,62.5,68.5,63.5,3,1,Home
810,fb49d66d,62.0,59.8,61.0,61.5,68.0,73.25,60.0,67.0,3,1,Home
811,33d0b78a,71.0,60.75,62.0,58.0,66.0,69.0,69.33333333333333,62.0,1,1,Draw
812,4472d29d,65.0,59.0,59.5,68.33333333333333,81.0,58.333333333333336,68.5,64.66666666666667,0,1,Away
813,99f9cba1,64.0,59.833333333333336,63.0,71.5,68.0,62.0,76.0,68.0,2,0,Home
814,014cd5b7,62.0,64.25,64.25,62.333333333333336,61.0,64.8,63.0,68.625,1,2,Away
815,a2cab916,68.0,63.0,62.5,68.33333333333333,68.0,64.25,60.333333333333336,66.66666666666667,2,3,Away
816,e6caf939,56.0,64.0,71.5,60.333333333333336,61.0,65.0,67.0,63.0,1,2,Away
817,205468df,55.0,68.0,70.66666666666667,62.0,67.0,58.5,64.33333333333333,64.0,1,0,Home
818,9e482487,59.0,60.4,61.0,65.0,empty,63.5,63.75,70.0,3,0,Home
819,56629c17,71.0,71.4,77.0,70.0,67.0,66.6,67.66666666666667,66.66666666666667,0,2,Away
820,56d7c531,65.0,61.25,67.5,63.0,64.0,62.0,61.75,66.33333333333333,1,0,Home
821,57c599f6,81.0,63.75,66.0,62.0,empty,67.75,64.33333333333333,58.0,1,2,Away
822,4e939d4c,66.0,60.5,60.333333333333336,59.5,61.0,59.0,64.25,69.0,3,0,Home
823,825ef1ef,59.0,62.25,68.4,58.0,71.0,59.75,67.0,67.0,1,1,Draw
824,93f25522,65.0,64.25,65.25,62.0,68.0,70.2,70.5,64.0,3,1,Home
825,ec531c24,66.0,65.0,67.66666666666667,63.333333333333336,68.0,69.0,62.75,63.25,1,3,Away
826,f2778def,68.0,59.5,67.0,63.5,67.0,59.75,61.0,64.66666666666667,1,2,Away
827,53742b6f,67.0,61.8,57.666666666666664,61.666666666666664,61.0,62.2,76.0,61.0,0,1,Away
